ADMI_CD,SIDO_NM,SGG_NM,ADMI_NM,FULL_NM
11110515,서울특별시,종로구,청운효자동,서울특별시_종로구_청운효자동
11110530,서울특별시,종로구,사직동,서울특별시_종로구_사직동
11110540,서울특별시,종로구,삼청동,서울특별시_종로구_삼청동
11110550,서울특별시,종로구,부암동,서울특별시_종로구_부암동
11110560,서울특별시,종로구,평창동,서울특별시_종로구_평창동
11110570,서울특별시,종로구,무악동,서울특별시_종로구_무악동
11110580,서울특별시,종로구,교남동,서울특별시_종로구_교남동
11110600,서울특별시,종로구,가회동,서울특별시_종로구_가회동
11110615,서울특별시,종로구,종로1.2.3.4가동,서울특별시_종로구_종로1.2.3.4가동
11110630,서울특별시,종로구,종로5.6가동,서울특별시_종로구_종로5.6가동
11110640,서울특별시,종로구,이화동,서울특별시_종로구_이화동
11110650,서울특별시,종로구,혜화동,서울특별시_종로구_혜화동
11110670,서울특별시,종로구,창신1동,서울특별시_종로구_창신1동
11110680,서울특별시,종로구,창신2동,서울특별시_종로구_창신2동
11110690,서울특별시,종로구,창신3동,서울특별시_종로구_창신3동
11110700,서울특별시,종로구,숭인1동,서울특별시_종로구_숭인1동
11110710,서울특별시,종로구,숭인2동,서울특별시_종로구_숭인2동
11140520,서울특별시,중구,소공동,서울특별시_중구_소공동
11140540,서울특별시,중구,회현동,서울특별시_중구_회현동
11140550,서울특별시,중구,명동,서울특별시_중구_명동
11140570,서울특별시,중구,필동,서울특별시_중구_필동
11140580,서울특별시,중구,장충동,서울특별시_중구_장충동
11140590,서울특별시,중구,광희동,서울특별시_중구_광희동
11140605,서울특별시,중구,을지로동,서울특별시_중구_을지로동
11140615,서울특별시,중구,신당동,서울특별시_중구_신당동
11140625,서울특별시,중구,다산동,서울특별시_중구_다산동
11140635,서울특별시,중구,약수동,서울특별시_중구_약수동
11140645,서울특별시,중구,청구동,서울특별시_중구_청구동
11140650,서울특별시,중구,신당5동,서울특별시_중구_신당5동
11140665,서울특별시,중구,동화동,서울특별시_중구_동화동
11140670,서울특별시,중구,황학동,서울특별시_중구_황학동
11140680,서울특별시,중구,중림동,서울특별시_중구_중림동
11170510,서울특별시,용산구,후암동,서울특별시_용산구_후암동
11170520,서울특별시,용산구,용산2가동,서울특별시_용산구_용산2가동
11170530,서울특별시,용산구,남영동,서울특별시_용산구_남영동
11170555,서울특별시,용산구,청파동,서울특별시_용산구_청파동
11170560,서울특별시,용산구,원효로1동,서울특별시_용산구_원효로1동
11170570,서울특별시,용산구,원효로2동,서울특별시_용산구_원효로2동
11170580,서울특별시,용산구,효창동,서울특별시_용산구_효창동
11170590,서울특별시,용산구,용문동,서울특별시_용산구_용문동
11170625,서울특별시,용산구,한강로동,서울특별시_용산구_한강로동
11170630,서울특별시,용산구,이촌1동,서울특별시_용산구_이촌1동
11170640,서울특별시,용산구,이촌2동,서울특별시_용산구_이촌2동
11170650,서울특별시,용산구,이태원1동,서울특별시_용산구_이태원1동
11170660,서울특별시,용산구,이태원2동,서울특별시_용산구_이태원2동
11170685,서울특별시,용산구,한남동,서울특별시_용산구_한남동
11170690,서울특별시,용산구,서빙고동,서울특별시_용산구_서빙고동
11170700,서울특별시,용산구,보광동,서울특별시_용산구_보광동
11200520,서울특별시,성동구,왕십리2동,서울특별시_성동구_왕십리2동
11200535,서울특별시,성동구,왕십리도선동,서울특별시_성동구_왕십리도선동
11200540,서울특별시,성동구,마장동,서울특별시_성동구_마장동
11200550,서울특별시,성동구,사근동,서울특별시_성동구_사근동
11200560,서울특별시,성동구,행당1동,서울특별시_성동구_행당1동
11200570,서울특별시,성동구,행당2동,서울특별시_성동구_행당2동
11200580,서울특별시,성동구,응봉동,서울특별시_성동구_응봉동
11200590,서울특별시,성동구,금호1가동,서울특별시_성동구_금호1가동
11200615,서울특별시,성동구,금호2.3가동,서울특별시_성동구_금호2.3가동
11200620,서울특별시,성동구,금호4가동,서울특별시_성동구_금호4가동
11200645,서울특별시,성동구,옥수동,서울특별시_성동구_옥수동
11200650,서울특별시,성동구,성수1가1동,서울특별시_성동구_성수1가1동
11200660,서울특별시,성동구,성수1가2동,서울특별시_성동구_성수1가2동
11200670,서울특별시,성동구,성수2가1동,서울특별시_성동구_성수2가1동
11200690,서울특별시,성동구,성수2가3동,서울특별시_성동구_성수2가3동
11200720,서울특별시,성동구,송정동,서울특별시_성동구_송정동
