ETL_YMD,O_CELL_ID,O_CELL_TP,D_CELL_ID,D_CELL_TP,ST_TIME_CD,FNS_TIME_CD,IN_FORN_DIV_NM,MOVE_PURPOSE,MOVE_DIST,MOVE_TIME,MALE_00_CNT,MALE_10_CNT,MALE_20_CNT,MALE_30_CNT,MALE_35_CNT,MALE_40_CNT,MALE_45_CNT,MALE_50_CNT,MALE_55_CNT,MALE_60_CNT,MALE_65_CNT,MALE_70_CNT,MALE_75_CNT,MALE_80_CNT,MALE_85_CNT,FEML_00_CNT,FEML_10_CNT,FEML_15_CNT,FEML_20_CNT,FEML_25_CNT,FEML_30_CNT,FEML_35_CNT,FEML_40_CNT,FEML_45_CNT,FEML_50_CNT,FEML_55_CNT,FEML_60_CNT,FEML_65_CNT,FEML_70_CNT,FEML_75_CNT,FEML_80_CNT,FEML_85_CNT,lon_o,lat_o,lon_d,lat_d
20240311,라사11500950,0,다사40251150,0,16,18,1,7,19331,1509,0,0,0,0,0,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.6309716,37.18533034,126.8281028,37.20152555
20240324,다사23256100,0,다사61001650,2,10,12,1,3,19314,2545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0,0,0,126.6314137,37.64641541,127.06166,37.24769009
20240311,다사56755475,0,다사60001100,2,16,18,1,3,19223,2735,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0115057,37.59226793,127.0506788,37.19807185
20240323,다사59004575,0,라사10753425,0,11,13,1,7,17142,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,0,127.0374931,37.51125102,127.6228843,37.4084348
20240323,다사50504600,2,다사07003900,0,9,10,2,7,12572,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9413013,37.51308859,126.4500219,37.44664986
20240306,다사24504850,2,다사63757175,0,9,10,1,7,12472,1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,3.66,0,0,0,0,0,126.6468687,37.53386231,127.0899533,37.74579346
20240308,다사57754150,0,다사61258875,0,16,19,1,7,12167,2534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,127.023593,37.47288799,127.0606698,37.89891076
20240303,다사55508125,1,다사73754825,2,16,17,2,3,10762,919,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9957309,37.83105282,127.2043001,37.5343204
20240322,다사28256900,1,다사44254125,2,18,19,1,3,10371,1568,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.6872998,37.7189189,126.8709428,37.46992052
20240308,다사25254725,0,다사53002875,0,13,14,1,7,10079,1192,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.6554837,37.52265753,126.9706848,37.35773822
